task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,coherent_raw_h3,official,6,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,coherent_raw_h3,official,6,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,coherent_raw_h3,official,6,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,coherent_raw_h3,official,6,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,coherent_raw_h3,proprio,3,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,proprio,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,proprio,3,denominator_mse_mean,8,8,0.001039163217617687,0.00099802617656410703,0.0010816592828215607
reach,fresh,coherent_raw_h3,proprio,3,native_spearman,8,8,0.76184302047800534,0.74639963916265739,0.77646023844709389
reach,fresh,coherent_raw_h3,proprio,3,spearman_loss,8,8,0.23815697952199469,0.22353976155290611,0.25360036083734261
reach,fresh,coherent_raw_h3,proprio,3,native_top10_overlap,8,8,4.75,4.1218750000000028,5.375
reach,fresh,coherent_raw_h3,proprio,3,centered_cost_change_rms,8,8,0.043636691421169105,0.040570243645335902,0.046837658223668761
reach,fresh,coherent_raw_h3,proprio,4,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,proprio,4,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,proprio,4,denominator_mse_mean,8,8,0.0036643738501509144,0.0034733609807794975,0.0038621014405316369
reach,fresh,coherent_raw_h3,proprio,4,native_spearman,8,8,0.76184302047800534,0.74639963916265739,0.77646023844709389
reach,fresh,coherent_raw_h3,proprio,4,spearman_loss,8,8,0.23815697952199469,0.22353976155290611,0.25360036083734261
reach,fresh,coherent_raw_h3,proprio,4,native_top10_overlap,8,8,4.75,4.1218750000000028,5.375
reach,fresh,coherent_raw_h3,proprio,4,centered_cost_change_rms,8,8,0.043636691421169105,0.040570243645335902,0.046837658223668761
reach,fresh,coherent_raw_h3,proprio,6,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,proprio,6,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,proprio,6,denominator_mse_mean,8,8,0.0039033302689153431,0.0036675054616204092,0.0041450206283824512
reach,fresh,coherent_raw_h3,proprio,6,native_spearman,8,8,0.76184302047800534,0.74639963916265739,0.77646023844709389
reach,fresh,coherent_raw_h3,proprio,6,spearman_loss,8,8,0.23815697952199469,0.22353976155290611,0.25360036083734261
reach,fresh,coherent_raw_h3,proprio,6,native_top10_overlap,8,8,4.75,4.1218750000000028,5.375
reach,fresh,coherent_raw_h3,proprio,6,centered_cost_change_rms,8,8,0.043636691421169105,0.040570243645335902,0.046837658223668761
reach,fresh,coherent_raw_h3,visual,3,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,visual,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,visual,3,denominator_mse_mean,8,8,0.045102084969845684,0.042450324087551783,0.047743260366661912
reach,fresh,coherent_raw_h3,visual,3,native_spearman,8,8,0.74755225058056207,0.72166746297181084,0.77230935899287767
reach,fresh,coherent_raw_h3,visual,3,spearman_loss,8,8,0.25244774941943798,0.22769064100712233,0.27833253702818922
reach,fresh,coherent_raw_h3,visual,3,native_top10_overlap,8,8,4.625,3.375,5.75
reach,fresh,coherent_raw_h3,visual,3,centered_cost_change_rms,8,8,0.10326634392518957,0.086846132480866395,0.12479529317641333
reach,fresh,coherent_raw_h3,visual,4,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,visual,4,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,visual,4,denominator_mse_mean,8,8,0.15698773467208402,0.14714847610893883,0.16735377387360129
reach,fresh,coherent_raw_h3,visual,4,native_spearman,8,8,0.74755225058056207,0.72166746297181084,0.77230935899287767
reach,fresh,coherent_raw_h3,visual,4,spearman_loss,8,8,0.25244774941943798,0.22769064100712233,0.27833253702818922
reach,fresh,coherent_raw_h3,visual,4,native_top10_overlap,8,8,4.625,3.375,5.75
reach,fresh,coherent_raw_h3,visual,4,centered_cost_change_rms,8,8,0.10326634392518957,0.086846132480866395,0.12479529317641333
reach,fresh,coherent_raw_h3,visual,6,donor_reconstruction,8,8,1,1,1
